Peng Ning, NC State University and Samsung Mobile, USA
Ehab Al-Shaer, UNC Charlotte, USA
Yair Amir, Johns Hopkins University, USA
Michael Backes, Saarland University and MPI-SWS, Germany
Dirk Balfanz, Google, USA
Davide Balzarotti, EURECOM, France
Lujo Bauer, Carnegie Mellon University, USA
Steve Bellovin, Columbia University, USA
Elie Bursztein, Google, USA
Srdjan Capkun, ETH Zurich, Switzerland
Marc Dacier, Symantec, France
Wenliang Du, Syracuse University, USA
William Enck, NC State University, USA
Úlfar Erlingsson, Google, USA
Nicholas Hopper, University of Minnesota, USA
Xuxian Jiang, NC State University, USA
Apu Kapadia, Indiana University, USA
Stefan Katzenbeisser, TU Darmstadt, Germany
Roger Khazan, MIT Lincoln Lab, USA
Yongdae Kim, University of Minnesota, USA, and KAIST, South Korea
Engin Kirda, Northeastern University, USA
Jun Li, University of Oregon, USA
Ninghui Li, Purdue University, USA
Zhichun Li, NEC Laboratories America, USA
Zhenkai Liang, National University of Singapore, Singapore
Yao Liu, University of South Florida, USA
Jonathan McCune, Carnegie Mellon University, USA
Patrick McDaniel, Penn State University, USA
John Mitchell, Stanford University, USA
David Molnar, Microsoft Research, USA
Cristina Nita-Rotaru, Purdue University, USA
Alina Oprea, RSA Laboratories, USA
Bryan Parno, Microsoft Research, USA
Radha Poovendran, University of Washington, USA
Phil Porras, SRI International, USA
Zhiyun Qian, NEC Laboratories America, USA
Mike Reiter, UNC Chapel Hill, USA
Kui Ren, Illinois Institute of Technology, USA
Thomas Ristenpart, University of Wisconsin, USA
Volker Roth, Freie Universität Berlin, Germany
Ahmad-Reza Sadeghi, TU Darmstadt, Germany
Pierangela Samarati, Università degli Studi di Milano, Italy
Elaine Shi, University of Maryland, USA
Radu Sion, Stony Brook University, USA
Robin Sommer, ICSI/LBNL, USA
Abhinav Srivastava, AT&T Labs, USA
Wade Trappe, Rutgers University, USA
Patrick Traynor, Georgia Institute of Technology, USA
David Wagner, UC Berkeley, USA
Cliff Wang, Army Research Office, USA
XiaoFeng Wang, Indiana University, USA
Venkat Venkatakrishnan, University of Illinois at Chicago, USA
Tao Wei, UC Berkeley, USA, and Peking University, China
Glenn Wurster, Research In Motion Limited, Canada
Yinglian Xie, Microsoft Research, USA
Dongyan Xu, Purdue University, USA
Heng Yin, Syracuse University, USA
Moti Yung, Google, USA
Xiaolan Zhang, IBM Research, USA
Yanchao Zhang, Arizona State University, USA